gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
AES,Oahu,multiple,2020,306.954296082,613908.592164,312355.908273
AES,Oahu,multiple,2025,433.891822029,867783.644058,440751.027982
AES,Oahu,multiple,2030,353.954370952,707908.741905,359558.113508
AES,Oahu,multiple,2035,75.1979492088,150395.898418,137397.037801
AES,Oahu,multiple,2040,31.4205184966,62841.0369932,57446.1550707
AES,Oahu,multiple,2045,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2020,5.13855143674,192490.13682,4930.46887944
Airport_DSG,Oahu,multiple,2025,0.994041151569,37236.7815378,953.788051561
Airport_DSG,Oahu,multiple,2030,3.3107983516,124022.506251,2875.20350904
Airport_DSG,Oahu,multiple,2035,11.0146172763,412607.563169,7090.98651752
Airport_DSG,Oahu,multiple,2040,1.68345678895,63062.291314,1615.28621635
Airport_DSG,Oahu,multiple,2045,0.0,0.0,0.0
Battery_Bulk,Oahu,Battery,2020,0.0,0.0,0.0
Battery_Bulk,Oahu,Battery,2025,0.0,0.0,0.0
Battery_Bulk,Oahu,Battery,2030,0.0,0.0,0.0
Battery_Bulk,Oahu,Battery,2035,202.016353516,346807.469404,0.0
Battery_Bulk,Oahu,Battery,2040,707.682245436,1214899.11292,0.0
Battery_Bulk,Oahu,Battery,2045,304.612563804,522937.428398,0.0
Battery_Conting,Oahu,Battery,2020,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2025,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2030,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2035,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2040,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2045,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2020,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2025,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2030,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2035,0.0,0.0,0.0
